"Nr.,""Firmos pavadinimas"",""ðalis"",""Miestas"",""Ámonës kodas"",""PVM kodas"",""Telefonas"",""El. paðtas reklaminiams pasiûlymams"",""Kontaktiniai asmenys"",""El. paðtas"",""Buh. kodas""";
"1,""12Logistics GmbH"",""Vokietija"",""Kaarst"",""HRB 13938"",""DE292824056"",,,,,";
"2,""A.d.R Transservice GmbH Express &amp";" Kurierdienst"",""Vokietija"",""Krefeld"",""HRB 13597"",""DE277759480"",,,,,"
"3,""ABC LOGISTICS EUROPE GmbH"",""Vokietija"",""Langenau"",""HRB 742166"",""DE341929194"",,,,,";
"4,""ADAMPOL S.A"",""Lietuva"",""Zaúcianki k/Biaùegostoku"",""0000056707"",""PL5420000162"",""+48 85 740 78 60"",,,""adampol@adampolsa.com.pl"",";
"5,""AEP TRANSPORT"",""Lenkija"",""Gniezno"",""384966914"",""PL7842520063"",,,""	Nicefor Stanisùaw Pacholczyk			"",,";
"6,""AG CAR EUROPE SRL"",""Italija"",""Pagani SA"",""458348"",""IT05592330657"",,,""Sales &amp";" Business Manager	Rosario Sorrentino		sales@agcareurope.it	"",""agcareurope@pec.it"",""61GKEYB"""
"7,""ALB LOGISTICS Sp. z o. o."",""Lenkija"",""Tychy"",""364848395"",""PL6462944046"",,,""Managing Partner	Ewelina Dubicka		e.dubicka@alblogistics.pl	"",""info@alblogistics.pl"",";
"8,""Aleksandras  edgaro klientas"",,,,,,,,,";
"9,""Alfatransa, UAB"",""Lietuva"",""Garliava"",""300066708"",""LT100001345018"",""+37037373494"",,,,";
"10,""AMI HOLDINGS LTD"",""Latvija"",""Ryga"",""40203199742"",""LV40203199742"",,,""	Darwish Logistics Latvia			"",""Orders@darwishlogistics.eu"",";
"11,""ANGLIJOS KELIASMB"",""Lietuva"",""Kaunas"",""305567210"",""LT100013440019"",,,,""anglijoskelias@gmail.com"",";
"12,""Antralita, UAB"",""Lietuva"",""Kaunas"",""304959322"",""LT100012032612"",,,,""svajunas.n@gmail.com"",";
"13,""Argodos logistika, UAB"",""Lietuva"",""Marijampolë"",""303365982"",""LT100008778411"",,,,""info@argodoslogistika.lt"",";
"14,""Artitransa, UAB"",""Lietuva"",""Vilkaviðkis"",""305450883"",""LT100013027319"",,,,""Arturasauto22@gmail.com"",";
"15,""Artur Möller GmbH &amp";" Co.KG"",""Vokietija"",""Voerde"",""HRA 6903"",""DE119065578"",,,,,"
"16,""Arvydo Ðidarausko individuali ámonë"",""Lietuva"",""Marijampolë"",""36811180262"",,,,""	Arvydas Ðidarauskas			"",,";
"17,""Aurida, UAB"",""Lietuva"",,""300638778"",""LT100002904519"",,,""Direktorius	Aurimas Drakðas		aurida.uab@gmail.com	telegram turi"",""aurida.uab@gmail.com"",";
"18,""Auto Transferbaltic UAB"",""Lietuva"",""Ðiauliai"",""302492553"",""LT100005293911"",,,""vadybininkas	Rokas Danielaitis			"",""Info@autotransfer.lt"",";
"19,""Autoeda, UAB"",""Lietuva"",""Vilnius"",""304434495"",""LT100015464410"",,,,,";
"20,""AUTOLINK POLAND SP. Z O.O."",""Lenkija"",""Warszawa"",""0001038563"",""PL7011147236"",,,""Freight Forwarder	Mikoùaj Narloch		mikolaj.narloch@autolink.pl	"",""info@autolink.pl"",";
"21,""Autolink, UAB"",""Lietuva"",""Vilnius"",""302716955"",""LT100006637316"",,,""Logistics specialist	Tautvydas Papeika		tautvydas.papeika@autolink.lt	laukiu CMR"",,";
"22,""Automyle, IÁ"",""Lietuva"",""Panevëþys"",""304219069"",""LT100010847015"",,,""Direktorius	Irmantas Povilaitis		Automyle@gmail.com	telegram"",""Automyle@gmail.com"",";
"23,""Autotransnet, UAB"",""Lietuva"",""Kaunas"",""304825615"",""LT100011596817"",""+37065220233"",,""	Gintaras		dispo@autotransnet.lt	"",,";
"24,""Avdëjus, UAB"",""Lietuva"",""Ukmergë"",""306241694"",""LT100015926319"",,,""Direktorius	AAntanas Karaþantanas		antanas.karaza@gmail.com	"",""antanas.karaza@gmail.com"",";
"25,""Ballauf &amp";" Schopp Logistic GmbH"",""Vokietija"",""Garching"",""HRB 99999 (Amtsgericht München)"",""DE811232830"",,,,,"
"26,""BARTOLA EXPRESS RAFAÙ BIELSKI"",""Lenkija"",""Koùodzieý"",""451091269"",""PL5461210815"",""+48 733 003 959"",,,""bartolaexpress@gmail.com"",";
"27,""Bayer und Sohn Speditions GmbH"",""Vokietija"",""Trier-Ehrang"",""HRB 1841"",""DE367701245"",,,,""invoice@bayer-sohn.de"",";
